Date,Price,Product,Quantity Purchased,Serial NO,User ID,User Type,User Class,Purchased Week
2021-01-01 00:00:00.000000000,63.89,44,10,SN-1497,U26,Wholesale,Class A,53
2021-01-13 13:14:28.965517241,58.36,22,10,SN-5576,U11,Reatailer,Class A,2
2021-01-26 02:28:57.931034482,75.09,35,17,SN-7787,U18,Wholesale,Class D,4
2021-02-07 15:43:26.896551724,24.9,92,14,SN-9153,U17,Reatailer,Class C,5
2021-02-20 04:57:55.862068965,66.33,77,17,SN-3137,U19,Wholesale,Class D,7
2021-03-04 18:12:24.827586207,89.7,92,14,SN-1621,U10,Wholesale,Class B,9
2021-03-17 07:26:53.793103448,23.37,78,7,SN-3834,U20,Reatailer,Class A,11
2021-03-29 20:41:22.758620690,71.94,33,20,SN-8592,U23,Reatailer,Class A,13
2021-04-11 09:55:51.724137931,60.49,77,4,SN-8148,U16,Wholesale,Class A,14
2021-04-23 23:10:20.689655172,90.93,37,4,SN-1305,U17,Wholesale,Class C,16
2021-05-06 12:24:49.655172414,33.54,81,9,SN-5217,U16,Wholesale,Class C,18
2021-05-19 01:39:18.620689656,68.42,95,16,SN-3962,U24,Wholesale,Class B,20
2021-05-31 14:53:47.586206896,49.19,21,13,SN-2744,U23,Wholesale,Class B,22
2021-06-13 04:08:16.551724138,73.53,46,17,SN-8229,U19,Wholesale,Class A,23
2021-06-25 17:22:45.517241380,14.53,18,18,SN-4630,U15,Reatailer,Class B,25
2021-07-08 06:37:14.482758620,18.48,90,3,SN-8872,U18,Reatailer,Class D,27
2021-07-20 19:51:43.448275862,61.76,92,13,SN-9573,U11,Wholesale,Class D,29
2021-08-02 09:06:12.413793104,60.1,74,3,SN-7608,U12,Reatailer,Class C,31
2021-08-14 22:20:41.379310344,44.88,79,13,SN-2243,U12,Wholesale,Class C,32
2021-08-27 11:35:10.344827588,52.51,88,20,SN-8523,U27,Wholesale,Class D,34
2021-09-09 00:49:39.310344828,33.97,34,1,SN-6560,U30,Reatailer,Class C,36
2021-09-21 14:04:08.275862068,48.28,25,16,SN-5468,U26,Wholesale,Class C,38
2021-10-04 03:18:37.241379312,66.99,84,17,SN-6355,U11,Wholesale,Class A,40
2021-10-16 16:33:06.206896552,34.9,59,1,SN-1619,U16,Reatailer,Class B,41
2021-10-29 05:47:35.172413792,41.41,63,13,SN-8303,U21,Wholesale,Class D,43
2021-11-10 19:02:04.137931036,10.27,18,16,SN-5189,U29,Reatailer,Class D,45
2021-11-23 08:16:33.103448276,21.16,78,19,SN-5205,U10,Reatailer,Class B,47
2021-12-05 21:31:02.068965516,77.58,67,5,SN-9870,U11,Wholesale,Class B,48
2021-12-18 10:45:31.034482760,55.06,38,9,SN-5977,U26,Reatailer,Class C,50
2021-12-31 00:00:00.000000000,46.59,22,8,SN-2644,U27,Reatailer,Class B,52
